timestamp,symbol,session,score,direction,ema_weight,macd_weight,rsi_weight,adx_weight,vwma_weight,bb_weight,candle_patterns,chart_pattern
2025-07-13 19:26:27,HBARUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 19:26:28,ADAUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 19:26:29,DOGEUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 19:26:29,BANANAS31USDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 19:26:30,TRXUSDT,US,4.68,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 19:26:32,SEIUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:07:06,XRPUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:07:07,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:07:08,HBARUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:07:09,ADAUSDT,US,2.7,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:07:09,DOGEUSDT,US,2.7,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:07:10,BANANAS31USDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:07:10,TRXUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:07:12,ALGOUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:07:13,NEIROUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 20:08:16,XRPUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:08:16,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:08:17,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:08:18,HBARUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:08:19,ADAUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:08:19,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:08:19,BANANAS31USDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:08:20,TRXUSDT,US,4.68,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:08:22,ALGOUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:09:26,XRPUSDT,US,4.68,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:09:27,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
